vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0214600	27.7428456244074	28.0991248688358	148.665715139434	129.803712998409
PF3D7_1142500	873.385880768382	1033.6463791036	356.375969625026	335.478610355044
PF3D7_1134700	156.181945737405	122.431901214213	306.820731245215	323.595171841105
PF3D7_1302000	182.897278560908	112.396499475343	420.692342841377	380.270032446045
PF3D7_1467600	58.5682296515268	29.1026650427228	424.909809937531	471.681097937882
PF3D7_1102700	105.83381849311	47.1663881726886	354.267236076949	383.0123644108
PF3D7_0307100	2002.62244896185	2223.84502533357	1038.55127242796	1019.23338023399
PF3D7_1401600	242.493021013339	143.50624486584	545.107622177924	544.809950331353
PF3D7_1340900	228.107841800683	282.998329036132	593.608493783697	566.748606049394
PF3D7_1200700	13.3576664117517	10.0354017388699	227.743223192324	236.75465962386
PF3D7_1301400	79.1184856696064	22.0778838255138	300.494530600983	324.509282496024
PF3D7_0526400	55.4856912488149	74.2619728676374	11.5980345144239	14.625770478694
PF3D7_1401500	5.13756400451989	4.01416069554797	249.884925447134	279.717860405023
PF3D7_0702200	12.3301536108477	11.0389419127569	150.774448687511	173.681024434492
PF3D7_0830500	5.13756400451989	3.01062052166098	398.550640586567	428.717897156719
PF3D7_0607300	62.6782808551427	63.2230309548805	166.589950298089	179.165688364002
PF3D7_1314700	171.594637750964	148.523945735275	315.255665437523	396.724024234575
PF3D7_1433300	85.2835624750303	121.428361040326	307.875098019253	250.466319447635
PF3D7_0831500	278.455969044978	242.856722080652	816.079883105828	921.423540157724
PF3D7_1000600	1.02751280090398	0	37.9572038653874	42.0490901262453
PF3D7_0927200	2.05502560180796	8.02832139109594	128.632746432702	143.515372822185
PF3D7_1350900	4.11005120361592	5.01770086943496	154.991915783665	147.171815441859
PF3D7_0702100	13.3576664117517	16.0566427821919	171.861784168282	223.042999800084
PF3D7_1149300	11.3026408099438	7.02478121720894	94.8930096634684	92.325176146756
PF3D7_0104300	405.867556357072	286.008949557793	701.153904735628	774.251724715865
PF3D7_1200800	27.7428456244074	38.1345266077057	202.438420615399	222.128889145166
PF3D7_0723700	41.1005120361592	38.1345266077057	110.708511274047	131.631934308246
PF3D7_0425100	1.02751280090398	0	27.413536125002	27.4233196475513
PF3D7_0606000	141.796766524749	118.417740518665	336.343000918294	411.349794713269
PF3D7_0220600	125.356561710285	80.2832139109594	420.692342841377	500.93263889527
PF3D7_1102800	378.124710732664	308.086833383307	980.56109985584	942.448085220846
PF3D7_1148700	75.0084344659905	18.0637231299659	335.288634144255	371.128925896861
PF3D7_1351400	3119.52886354448	3308.67195330541	1372.78553979818	1366.59542910297
PF3D7_1354300	245.575559416051	188.665552690754	482.89998250965	558.521610155128
PF3D7_1417600	168.512099348253	122.431901214213	392.224439942336	390.325249650147
PF3D7_1309100	2204.01495793903	1945.86439716688	743.328575697169	712.092200181415
PF3D7_1464000	266.125815434131	263.931065732279	524.020286697153	650.846786301884
PF3D7_0926700	504.508785243854	479.692203117982	224.580122870209	227.613553074676
PF3D7_0932300	556.911938089957	551.947095637846	222.471389322132	210.245450631227
PF3D7_1252800	46.238076040679	25.0885043471748	218.253922225977	230.355885039431
PF3D7_1472900	123.301536108477	164.580588517467	336.343000918294	383.926475065718
PF3D7_1347700	233.245405805203	194.686793734076	587.282293139466	671.871331365007
PF3D7_0501400	85.2835624750303	43.1522274771407	672.686001836587	1120.69966292993
PF3D7_0731200	21.5777688189836	8.02832139109594	283.624662216367	308.969401362411
PF3D7_1401100	44.1830504388711	11.0389419127569	154.991915783665	179.165688364002
PF3D7_0918700	11.3026408099438	10.0354017388699	198.220953519245	181.908020328757
PF3D7_0711400	121.24651050667	201.711574951285	438.616578000032	460.711770078862
PF3D7_1436300	155.154432936501	95.3363165192642	920.462193735644	939.705753256091
PF3D7_1241400	16.4402048144637	9.03186156498293	126.524012884625	140.77304085743
PF3D7_0108700	279.483481845882	244.863802428426	530.346487341385	543.895839676434
PF3D7_0301700	327.776583488369	272.962927297262	940.495162442376	971.699626178234
PF3D7_0527600	397.64745394984	365.288623294865	161.318116427896	173.681024434492
PF3D7_1338200	2471.16828617407	2298.10699820121	1223.0654578847	1261.47270378736
PF3D7_1105400	3344.55416694245	3043.73734739925	1399.14470914914	1336.42977749067
PF3D7_0902300	14.3851792126557	20.0708034777398	101.2192103077	126.147270378736
PF3D7_0622900	77.0634600677984	43.1522274771407	195.05785319713	199.276122772206
PF3D7_0623800	161.319509741925	149.527485909162	375.35457155772	462.539991388699
PF3D7_1301500	28.7703584253114	9.03186156498293	83.2949751490445	117.920274484471
PF3D7_0919200	12.3301536108477	20.0708034777398	72.7513074086591	94.1533974565928
PF3D7_0829400	109.943869696726	122.431901214213	345.83230188464	404.951020128841
PF3D7_0214800	49.320614443391	52.1840890421236	164.481216750012	131.631934308246
PF3D7_0210100	1470.37081809359	1579.57223369813	731.730541182745	703.86520428715
PF3D7_1102500	3.08253840271194	5.01770086943496	44.2834045096186	47.5337540557556
PF3D7_0401600	163.374535343733	135.477923474744	335.288634144255	388.49702834031
PF3D7_0902700	127.411587312093	118.417740518665	292.059596408675	290.687188264044
PF3D7_1353100	72.9534088641825	45.1593078249146	642.10936538947	670.04311005517
PF3D7_0210600	38.0179736334472	46.1628479988016	181.351085134629	209.331339976308
PF3D7_1001300	85.2835624750303	74.2619728676374	16.8698683846166	17.3681024434492
PF3D7_1209400	80.1459984705103	68.2407318243154	282.570295442328	301.656516123064
PF3D7_0403800	25.6878200225995	25.0885043471748	139.176414173087	131.631934308246
PF3D7_0401800	166.457073746445	56.1982497376715	2912.16102989444	3019.3074931954
PF3D7_1148900	8.22010240723183	3.01062052166098	80.1318748269289	83.1840695975723
PF3D7_1327300	75.0084344659905	51.1805488682366	584.11919281735	601.484810936292
