c1	c2	t1	t2
PF3D7_0919800	32.4007176316518	34.2831561995595	51.2609623901742	50.2515611817625
PF3D7_0205000	9.40054693971642	10.4613568639713	10.5270461930362	9.06023095794673
PF3D7_1354200	29.4861909069656	21.9881066384176	19.1242477724885	16.4255102967253
PF3D7_0610800	491.220799427246	470.927072684513	390.818715184208	370.340459001778
PF3D7_1353200	46.3446165440939	27.4701543491241	250.821740029184	248.018626504466
PF3D7_0700300	1.60446741918185	0	1.14574479948441	0.515460978866791
PF3D7_0914300	21.5161396988948	20.5631123787686	16.6604130556731	23.9852164659827
PF3D7_1005200	1.64353505575303	1.60952059761049	0	1.58403625747477
PF3D7_0605000	120.458477009345	132.165027260539	179.206237868074	203.170927362572
PF3D7_0410900	10.6745753314348	10.6714397359635	16.6746090449844	16.718223159156
